Servicenow TT,INC TT NO,Site ID,Priority,Area,Site Address,Category,Subcategory,Alarm Desc,Month,TT Issue Date,TT Close Date,Breached,Status,Spare Changed,Feedback,Breached_Flag,Spare_Flag,Area_Type,Is_Priority_Area,Month_Num,Priority_Num,IssueDate,Issue_Year,Issue_Month,Issue_Day,Issue_WeekDay
NOCINC0006031331 ,4984078,1910,S4,JAH,"JAHRA, QASER, TEACHERS SOCIETY ,Near to road side.",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/17/2026,1/17/2026,yes,close,NO,"MEW maintenance/access issue - Team visited the site and but couldn't get access to site due to building is closed, As well team found MEW power failure due to MEW maintenance work is going on, As received information from MEW team. Power will be restore in 1 hour. Presenlty MEW power restored. alar",1,0,Standard,0,1,4,1/17/2026,2026,1,17,Saturday
NOCINC0006031342,4984040,1030,S1,JAH,"SALMY,SALMY road 70 ,Near to 70 SALMY Road ,Viva Sharing the same Tower.",Standby DG,Major / Site Down,Rectifier Major Radio,Jan,1/17/2026,1/17/2026,,close,YES,"Plan activity-Team visited site for ATS troubleshooting work, completed. Also Mother board faulty, replaced with repaired one, ATS mechanism coil replaced, ATS Mechanism, relay faulty/replaced 2nos, 3 core cable, 1.5 M. installed 30 meter. Team completed but FAF active, team visited and and connecte",0,1,Standard,0,1,1,1/17/2026,2026,1,17,Saturday
NOCINC0006031355,4984132,1034,S1,JAH,"RAWDATEEN,Rawdatain Mincipality",Standby DG,DA on Load,DA on Load,Jan,1/17/2026,1/17/2026,yes,close,NO,Plan activity-Team visited site for DG inspaction. Now completed ,1,0,Standard,0,1,1,1/17/2026,2026,1,17,Saturday
NOCINC0006031364,4984225,4791,S4,JAH,"Salmi Road, Low cost city - Kharrafi project",DG,Major / Site Down,Rectifier Major Radio,Jan,1/17/2026,1/17/2026,,close,NO,"Rectifier issue - Our dg team visited at site and found dg running normally, Later Dg team coordinated with power with power team and found  Rectifier voltage dropped, reset rectifier. Later Ac team attended site and checked All Ac working properly. Now site is clear.",0,0,Standard,0,1,4,1/17/2026,2026,1,17,Saturday
NOCINC0006031368,4984241,1264,S4,JAH,"Jaber Al-Ahmad - Block 1 - St 175 - Parcel 900003 - PACI NO 93510973, COOP",AC,Aircon 2 Alarm,Aircon2,Jan,1/17/2026,1/17/2026,,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,0,0,Standard,0,1,4,1/17/2026,2026,1,17,Saturday
NOCINC0006031392,4984497,1034,,JAH,"RAWDATEEN,Rawdatain Mincipality",Standby DG,DA on Load,Da on load,Jan,1/18/2026,1/18/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,,1/18/2026,2026,1,18,Sunday
NOCINC0006031395,4984550,1088,S1,JAH,"ABDALLY,Abdally Farms, Blk 2",Standby DG,DA on Load,Da on load,Jan,1/18/2026,1/18/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/18/2026,2026,1,18,Sunday
NOCINC0006031405 ,service now not working ,4811,S4,JAH,"UM QADIR,MEW UM QUDAIR Q ,Near to the Compound wall of MEW.",AC,High Temp 32C,HT-32C alarm active,Jan,1/18/2026,1/18/2026,,close,YES,"AC issue  - AC 1 PCB hanged /Reset, AC 2 indoor motor faullty need to replace. Now alarm clear ",0,1,Standard,0,1,4,1/18/2026,2026,1,18,Sunday
NOCINC0006031410,4984761,164,,JAH,"Jaber Al-Ahmad - Block 5 - St 528 - Parcel 900006 - PACI NO 95258695,  N1-COOP 2",Rectifier,Minor / Low DC / Fuse,Fuse Failure Radio,Jan,1/18/2026,1/18/2026,,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,0,0,Standard,0,1,,1/18/2026,2026,1,18,Sunday
NOCINC0006031422,4984913,4811,S4,JAH,"UM QADIR,MEW UM QUDAIR Q ,Near to the Compound wall of MEW.",AC,High Temp 32C,High Temperature 32C,Jan,1/19/2026,1/19/2026,,close,NO,AC issue - our team attended site and found Ac 1 PCB hanged/ reset. Now site is clear.,0,0,Standard,0,1,4,1/19/2026,2026,1,19,Monday
NOCINC0006031425,4985047,844,,JAH,"JAHRA,JAHRA RD 80, TMP ,Near to the Viva and Ooreedo Sites.",3rd Party,,Radio Site Down,Jan,1/19/2026,1/19/2026,,close,NO,"Its power sharing site with ooredoo, Now alarm cleared - 844",0,0,Standard,0,1,,1/19/2026,2026,1,19,Monday
NOCINC0006031428,4985011,1088,S1,JAH,"ABDALLY,Abdally Farms, Blk 2",Standby DG,DA on Load,DA on Load,Jan,1/19/2026,1/19/2026,yes,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",1,0,Standard,0,1,1,1/19/2026,2026,1,19,Monday
NOCINC0006031445,4985098,1088,,JAH,"ABDALLY,Abdally Farms, Blk 2",Standby DG,DA on Load,DA on Load,Jan,1/19/2026,1/19/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,,1/19/2026,2026,1,19,Monday
